"species","year","daySeen","observer"
"Downy Woodpecker",1902,17,"Walter"
"House Wren",1902,13,"Walter"
"Red-eyed Vireo",1902,6,"Walter"
"Loggerhead Shrike",1902,7,"Walter"
"Indigo Bunting",1902,5,"Walter"
"Black-throated Green Warbler",1902,6,"Walter"
"Blackburnian Warbler",1902,5,"Walter"
"Blackpoll Warbler",1902,3,"Walter"
"Eastern Kingbird",1902,6,"Walter"
"Scarlet Tanager",1902,3,"Walter"
"Ruby-throated Hummingbird",1902,1,"Walter"
"Mourning Dove",1902,2,"Walter"
"Rose-breasted Grosbeak",1902,6,"Walter"
"American Tree Sparrow",1902,12,"Walter"
"Winter Wren",1902,3,"Walter"
"Eastern Meadowlark",1902,5,"Walter"
"Purple Martin",1902,4,"Walter"
"Cape May Warbler",1902,6,"Walter"
"Warbling Vireo",1902,4,"Walter"
"Mourning Warbler",1902,4,"Walter"
"Wilson's Warbler",1902,5,"Walter"
"Yellow-billed Cuckoo",1902,1,"Walter"
"Great Crested Flycatcher",1902,10,"Walter"
"Bobolink",1902,1,"Walter"
"Canada Warbler",1902,1,"Walter"
"Red-winged Blackbird",1902,3,"Walter"
"Wood Thrush",1902,3,"Walter"
"Orchard Oriole",1902,1,"Walter"
"Red-breasted Nuthatch",1902,3,"Walter"
"Northern Harrier",1902,5,"Walter"
"Hairy Woodpecker",1902,4,"Walter"
"Bay-breasted Warbler",1902,4,"Walter"
"Northern Parula",1902,9,"Walter"
"Black-capped Chickadee",1902,0,"Walter"
"Pine Warbler",1902,5,"Walter"
"Henslow's Sparrow",1902,3,"Walter"
"Nashville Warbler",1902,0,"Walter"
"Yellow-throated Vireo",1902,3,"Walter"
"Cedar Waxwing",1902,2,"Walter"
"Purple Finch",1902,1,"Walter"
"Vesper Sparrow",1902,4,"Walter"
"Blue-headed Vireo",1902,6,"Walter"
"Gray-cheeked Thrush",1902,3,"Walter"
"American Kestrel",1902,2,"Walter"
"Yellow-bellied Flycatcher",1902,2,"Walter"
"Common Nighthawk",1902,0,"Walter"
"Lincoln's Sparrow",1902,1,"Walter"
"Black-billed Cuckoo",1902,2,"Walter"
"Rusty Blackbird",1902,0,"Walter"
"Yellow-breasted Chat",1902,1,"Walter"
"Marsh Wren",1902,0,"Walter"
"Louisiana Waterthrush",1902,3,"Walter"
"Prothonotary Warbler",1902,3,"Walter"
"Savannah Sparrow",1902,0,"Walter"
"Golden-winged Warbler",1902,1,"Walter"
"Eastern Whip-poor-will",1902,0,"Walter"
"Connecticut Warbler",1902,0,"Walter"
"Dickcissel",1902,2,"Walter"
"Tennessee Warbler",1902,0,"Walter"
"Northern Mockingbird",1902,0,"Walter"
"Cerulean Warbler",1902,1,"Walter"
"Summer Tanager",1902,0,"Walter"
"Northern Cardinal",1902,0,"Walter"
"Red-bellied Woodpecker",1902,0,"Walter"
"Hooded Warbler",1902,0,"Walter"
"Yellow-headed Blackbird",1902,0,"Walter"
"American Robin",1903,82,"Walter"
"Common Grackle",1903,72,"Walter"
"Blue Jay",1903,51,"Walter"
"Brown-headed Cowbird",1903,54,"Walter"
"Dark-eyed Junco",1903,42,"Walter"
"Eastern Towhee",1903,48,"Walter"
"Song Sparrow",1903,36,"Walter"
"Northern Flicker",1903,46,"Walter"
"Ruby-crowned Kinglet",1903,39,"Walter"
"White-throated Sparrow",1903,35,"Walter"
"Eastern Bluebird",1903,50,"Walter"
"Veery",1903,20,"Walter"
"Yellow-bellied Sapsucker",1903,34,"Walter"
"Yellow Warbler",1903,27,"Walter"
"Belted Kingfisher",1903,19,"Walter"
"Red-headed Woodpecker",1903,26,"Walter"
"Yellow-rumped Warbler",1903,31,"Walter"
"Brown Thrasher",1903,29,"Walter"
"Brown Creeper",1903,27,"Walter"
"Gray Catbird",1903,17,"Walter"
"Golden-crowned Kinglet",1903,23,"Walter"
"Chipping Sparrow",1903,32,"Walter"
"American Goldfinch",1903,18,"Walter"
"Tree Swallow",1903,22,"Walter"
"American Redstart",1903,20,"Walter"
"Barn Swallow",1903,19,"Walter"
"Fox Sparrow",1903,21,"Walter"
"Chimney Swift",1903,22,"Walter"
"Blue-gray Gnatcatcher",1903,17,"Walter"
"White-crowned Sparrow",1903,17,"Walter"
"Palm Warbler",1903,20,"Walter"
"Hermit Thrush",1903,27,"Walter"
"Black-and-white Warbler",1903,18,"Walter"
"Least Flycatcher",1903,18,"Walter"
"Magnolia Warbler",1903,20,"Walter"
"Black-throated Blue Warbler",1903,16,"Walter"
"Swainson's Thrush",1903,23,"Walter"
"Eastern Phoebe",1903,19,"Walter"
"Baltimore Oriole",1903,13,"Walter"
"Northern Waterthrush",1903,17,"Walter"
"Field Sparrow",1903,17,"Walter"
"Swamp Sparrow",1903,17,"Walter"
"American Crow",1903,18,"Walter"
"Chestnut-sided Warbler",1903,16,"Walter"
"Ovenbird",1903,11,"Walter"
"White-breasted Nuthatch",1903,2,"Walter"
"Common Yellowthroat",1903,15,"Walter"
"Eastern Wood-Pewee",1903,13,"Walter"
"Downy Woodpecker",1903,10,"Walter"
"House Wren",1903,24,"Walter"
"Red-eyed Vireo",1903,16,"Walter"
"Loggerhead Shrike",1903,13,"Walter"
"Indigo Bunting",1903,11,"Walter"
"Black-throated Green Warbler",1903,12,"Walter"
"Blackburnian Warbler",1903,6,"Walter"
"Blackpoll Warbler",1903,15,"Walter"
"Eastern Kingbird",1903,17,"Walter"
"Scarlet Tanager",1903,10,"Walter"
"Ruby-throated Hummingbird",1903,10,"Walter"
"Mourning Dove",1903,8,"Walter"
"Rose-breasted Grosbeak",1903,6,"Walter"
"American Tree Sparrow",1903,8,"Walter"
"Winter Wren",1903,10,"Walter"
"Eastern Meadowlark",1903,4,"Walter"
"Purple Martin",1903,20,"Walter"
"Cape May Warbler",1903,7,"Walter"
"Warbling Vireo",1903,10,"Walter"
"Mourning Warbler",1903,5,"Walter"
"Wilson's Warbler",1903,8,"Walter"
"Yellow-billed Cuckoo",1903,7,"Walter"
"Great Crested Flycatcher",1903,9,"Walter"
"Bobolink",1903,4,"Walter"
"Canada Warbler",1903,4,"Walter"
"Red-winged Blackbird",1903,7,"Walter"
"Wood Thrush",1903,3,"Walter"
"Orchard Oriole",1903,6,"Walter"
"Red-breasted Nuthatch",1903,7,"Walter"
"Northern Harrier",1903,4,"Walter"
"Hairy Woodpecker",1903,7,"Walter"
"Bay-breasted Warbler",1903,10,"Walter"
"Northern Parula",1903,2,"Walter"
"Black-capped Chickadee",1903,0,"Walter"
"Pine Warbler",1903,9,"Walter"
"Henslow's Sparrow",1903,6,"Walter"
"Nashville Warbler",1903,9,"Walter"
"Yellow-throated Vireo",1903,7,"Walter"
"Cedar Waxwing",1903,1,"Walter"
"Purple Finch",1903,5,"Walter"
"Vesper Sparrow",1903,3,"Walter"
"Blue-headed Vireo",1903,4,"Walter"
"Gray-cheeked Thrush",1903,10,"Walter"
"American Kestrel",1903,4,"Walter"
"Yellow-bellied Flycatcher",1903,4,"Walter"
"Common Nighthawk",1903,7,"Walter"
"Lincoln's Sparrow",1903,8,"Walter"
"Black-billed Cuckoo",1903,2,"Walter"
"Rusty Blackbird",1903,2,"Walter"
"Yellow-breasted Chat",1903,6,"Walter"
"Marsh Wren",1903,3,"Walter"
"Louisiana Waterthrush",1903,2,"Walter"
"Prothonotary Warbler",1903,1,"Walter"
"Savannah Sparrow",1903,5,"Walter"
"Golden-winged Warbler",1903,0,"Walter"
"Eastern Whip-poor-will",1903,1,"Walter"
"Connecticut Warbler",1903,3,"Walter"
"Dickcissel",1903,0,"Walter"
"Tennessee Warbler",1903,0,"Walter"
"Northern Mockingbird",1903,0,"Walter"
"Cerulean Warbler",1903,0,"Walter"
"Summer Tanager",1903,0,"Walter"
"Northern Cardinal",1903,0,"Walter"
"Red-bellied Woodpecker",1903,0,"Walter"
"Hooded Warbler",1903,1,"Walter"
"Yellow-headed Blackbird",1903,0,"Walter"
"American Bittern",1928,1,"Dreuth"
"American Bittern",1930,4,"Dreuth"
"American Bittern",1931,2,"Dreuth"
"American Bittern",1932,4,"Dreuth"
"American Coot",1928,1,"Dreuth"
"American Coot",1929,4,"Dreuth"
"American Coot",1930,4,"Dreuth"
"American Coot",1931,10,"Dreuth"
"American Coot",1932,1,"Dreuth"
"American Crow",1927,3,"Dreuth"
"American Crow",1928,3,"Dreuth"
"American Crow",1930,10,"Dreuth"
"American Crow",1931,5,"Dreuth"
"American Crow",1932,8,"Dreuth"
"American Goldfinch",1927,2,"Dreuth"
"American Goldfinch",1928,6,"Dreuth"
"American Goldfinch",1929,17,"Dreuth"
"American Goldfinch",1930,10,"Dreuth"
"American Goldfinch",1931,14,"Dreuth"
"American Goldfinch",1932,20,"Dreuth"
"American Kestrel",1932,1,"Dreuth"
"American Redstart",1927,3,"Dreuth"
"American Redstart",1928,23,"Dreuth"
"American Redstart",1929,19,"Dreuth"
"American Redstart",1930,23,"Dreuth"
"American Redstart",1931,17,"Dreuth"
"American Redstart",1932,26,"Dreuth"
"American Robin",1927,13,"Dreuth"
"American Robin",1928,38,"Dreuth"
"American Robin",1929,76,"Dreuth"
"American Robin",1930,64,"Dreuth"
"American Robin",1931,60,"Dreuth"
"American Robin",1932,39,"Dreuth"
"American Tree Sparrow",1927,1,"Dreuth"
"American Tree Sparrow",1928,3,"Dreuth"
"American Tree Sparrow",1929,18,"Dreuth"
"American Tree Sparrow",1930,10,"Dreuth"
"American Tree Sparrow",1931,10,"Dreuth"
"American Tree Sparrow",1932,13,"Dreuth"
"American Wigeon",1931,1,"Dreuth"
"American Wigeon",1932,1,"Dreuth"
"American Woodcock",1932,4,"Dreuth"
"Bachman's Sparrow",1932,1,"Dreuth"
"Baltimore Oriole",1928,13,"Dreuth"
"Baltimore Oriole",1929,15,"Dreuth"
"Baltimore Oriole",1930,7,"Dreuth"
"Baltimore Oriole",1931,12,"Dreuth"
"Baltimore Oriole",1932,6,"Dreuth"
"Bank Swallow",1931,4,"Dreuth"
"Bank Swallow",1932,2,"Dreuth"
"Barn Swallow",1927,1,"Dreuth"
"Barn Swallow",1928,3,"Dreuth"
"Barn Swallow",1929,10,"Dreuth"
"Barn Swallow",1931,10,"Dreuth"
"Barn Swallow",1932,12,"Dreuth"
"Bay-breasted Warbler",1927,2,"Dreuth"
"Bay-breasted Warbler",1928,10,"Dreuth"
"Bay-breasted Warbler",1929,5,"Dreuth"
"Bay-breasted Warbler",1930,4,"Dreuth"
"Bay-breasted Warbler",1932,6,"Dreuth"
"Belted Kingfisher",1928,7,"Dreuth"
"Belted Kingfisher",1929,12,"Dreuth"
"Belted Kingfisher",1930,12,"Dreuth"
"Belted Kingfisher",1931,28,"Dreuth"
"Belted Kingfisher",1932,20,"Dreuth"
"Bewick's Wren",1929,2,"Dreuth"
"Bewick's Wren",1932,7,"Dreuth"
"Black-and-white Warbler",1927,4,"Dreuth"
"Black-and-white Warbler",1928,17,"Dreuth"
"Black-and-white Warbler",1929,22,"Dreuth"
"Black-and-white Warbler",1930,18,"Dreuth"
"Black-and-white Warbler",1931,19,"Dreuth"
"Black-and-white Warbler",1932,18,"Dreuth"
"Black-billed Cuckoo",1928,1,"Dreuth"
"Black-billed Cuckoo",1929,1,"Dreuth"
"Black-billed Cuckoo",1931,5,"Dreuth"
"Black-billed Cuckoo",1932,7,"Dreuth"
"Black-capped Chickadee",1929,1,"Dreuth"
"Black-capped Chickadee",1930,1,"Dreuth"
"Blackpoll Warbler",1927,3,"Dreuth"
"Blackpoll Warbler",1928,9,"Dreuth"
"Blackpoll Warbler",1929,14,"Dreuth"
"Blackpoll Warbler",1930,11,"Dreuth"
"Blackpoll Warbler",1932,14,"Dreuth"
"Black Scoter",1931,1,"Dreuth"
"Black Tern",1930,3,"Dreuth"
"Black Tern",1932,6,"Dreuth"
"Black-throated Blue Warbler",1927,1,"Dreuth"
"Black-throated Blue Warbler",1928,7,"Dreuth"
"Black-throated Blue Warbler",1929,13,"Dreuth"
"Black-throated Blue Warbler",1930,7,"Dreuth"
"Black-throated Blue Warbler",1931,5,"Dreuth"
"Black-throated Blue Warbler",1932,7,"Dreuth"
"Black-throated Green Warbler",1927,4,"Dreuth"
"Black-throated Green Warbler",1928,11,"Dreuth"
"Black-throated Green Warbler",1929,12,"Dreuth"
"Black-throated Green Warbler",1930,17,"Dreuth"
"Black-throated Green Warbler",1931,7,"Dreuth"
"Black-throated Green Warbler",1932,6,"Dreuth"
"Blackburnian Warbler",1927,2,"Dreuth"
"Blackburnian Warbler",1928,6,"Dreuth"
"Blackburnian Warbler",1929,16,"Dreuth"
"Blackburnian Warbler",1930,3,"Dreuth"
"Blackburnian Warbler",1931,10,"Dreuth"
"Blackburnian Warbler",1932,9,"Dreuth"
"Blue-gray Gnatcatcher",1928,4,"Dreuth"
"Blue-gray Gnatcatcher",1929,5,"Dreuth"
"Blue-gray Gnatcatcher",1930,3,"Dreuth"
"Blue-gray Gnatcatcher",1931,8,"Dreuth"
"Blue-gray Gnatcatcher",1932,2,"Dreuth"
"Blue-headed Vireo",1927,2,"Dreuth"
"Blue-headed Vireo",1928,8,"Dreuth"
"Blue-headed Vireo",1929,11,"Dreuth"
"Blue-headed Vireo",1930,3,"Dreuth"
"Blue-headed Vireo",1931,6,"Dreuth"
"Blue-headed Vireo",1932,7,"Dreuth"
"Blue Jay",1927,7,"Dreuth"
"Blue Jay",1928,25,"Dreuth"
"Blue Jay",1929,33,"Dreuth"
"Blue Jay",1930,27,"Dreuth"
"Blue Jay",1931,20,"Dreuth"
"Blue Jay",1932,28,"Dreuth"
"Blue-winged Teal",1930,2,"Dreuth"
"Blue-winged Teal",1931,8,"Dreuth"
"Blue-winged Teal",1932,2,"Dreuth"
"Bobolink",1927,1,"Dreuth"
"Bobolink",1928,3,"Dreuth"
"Bobolink",1929,2,"Dreuth"
"Bobolink",1930,2,"Dreuth"
"Bobolink",1931,2,"Dreuth"
"Bobolink",1932,3,"Dreuth"
"Bonaparte's Gull",1927,9,"Dreuth"
"Bonaparte's Gull",1928,20,"Dreuth"
"Bonaparte's Gull",1929,31,"Dreuth"
"Bonaparte's Gull",1930,34,"Dreuth"
"Bonaparte's Gull",1931,31,"Dreuth"
"Bonaparte's Gull",1932,43,"Dreuth"
"Brown Creeper",1927,2,"Dreuth"
"Brown Creeper",1928,10,"Dreuth"
"Brown Creeper",1929,28,"Dreuth"
"Brown Creeper",1930,24,"Dreuth"
"Brown Creeper",1931,30,"Dreuth"
"Brown Creeper",1932,2,"Dreuth"
"Brown-headed Cowbird",1927,2,"Dreuth"
"Brown-headed Cowbird",1928,17,"Dreuth"
"Brown-headed Cowbird",1929,18,"Dreuth"
"Brown-headed Cowbird",1930,20,"Dreuth"
"Brown-headed Cowbird",1931,30,"Dreuth"
"Brown-headed Cowbird",1932,37,"Dreuth"
"Brown Thrasher",1927,7,"Dreuth"
"Brown Thrasher",1928,29,"Dreuth"
"Brown Thrasher",1929,37,"Dreuth"
"Brown Thrasher",1930,30,"Dreuth"
"Brown Thrasher",1931,26,"Dreuth"
"Brown Thrasher",1932,40,"Dreuth"
"Bufflehead",1929,2,"Dreuth"
"Bufflehead",1930,4,"Dreuth"
"Canada Goose",1931,1,"Dreuth"
"Canada Warbler",1927,1,"Dreuth"
"Canada Warbler",1928,11,"Dreuth"
"Canada Warbler",1929,8,"Dreuth"
"Canada Warbler",1930,8,"Dreuth"
"Canada Warbler",1931,11,"Dreuth"
"Canada Warbler",1932,13,"Dreuth"
"Canvasback",1928,3,"Dreuth"
"Canvasback",1932,3,"Dreuth"
"Cape May Warbler",1927,1,"Dreuth"
"Cape May Warbler",1928,10,"Dreuth"
"Cape May Warbler",1929,14,"Dreuth"
"Cape May Warbler",1930,6,"Dreuth"
"Cape May Warbler",1931,9,"Dreuth"
"Cape May Warbler",1932,6,"Dreuth"
"Cedar Waxwing",1929,2,"Dreuth"
"Cedar Waxwing",1931,14,"Dreuth"
"Cedar Waxwing",1932,24,"Dreuth"
"Chestnut-sided Warbler",1927,3,"Dreuth"
"Chestnut-sided Warbler",1928,16,"Dreuth"
"Chestnut-sided Warbler",1929,13,"Dreuth"
"Chestnut-sided Warbler",1930,11,"Dreuth"
"Chestnut-sided Warbler",1931,14,"Dreuth"
"Chestnut-sided Warbler",1932,16,"Dreuth"
"Chimney Swift",1928,13,"Dreuth"
"Chimney Swift",1929,9,"Dreuth"
"Chimney Swift",1930,10,"Dreuth"
"Chimney Swift",1931,8,"Dreuth"
"Chimney Swift",1932,12,"Dreuth"
"Chipping Sparrow",1927,2,"Dreuth"
"Chipping Sparrow",1928,11,"Dreuth"
"Chipping Sparrow",1929,5,"Dreuth"
"Chipping Sparrow",1930,7,"Dreuth"
"Chipping Sparrow",1931,5,"Dreuth"
"Chipping Sparrow",1932,11,"Dreuth"
"Clay-colored Sparrow",1928,4,"Dreuth"
"Clay-colored Sparrow",1929,6,"Dreuth"
"Clay-colored Sparrow",1930,2,"Dreuth"
"Clay-colored Sparrow",1931,7,"Dreuth"
"Cliff Swallow",1931,2,"Dreuth"
"Common Goldeneye",1927,6,"Dreuth"
"Common Goldeneye",1928,8,"Dreuth"
"Common Goldeneye",1929,16,"Dreuth"
"Common Goldeneye",1930,5,"Dreuth"
"Common Goldeneye",1931,5,"Dreuth"
"Common Goldeneye",1932,28,"Dreuth"
"Common Grackle",1927,14,"Dreuth"
"Common Grackle",1928,36,"Dreuth"
"Common Grackle",1929,70,"Dreuth"
"Common Grackle",1930,68,"Dreuth"
"Common Grackle",1931,60,"Dreuth"
"Common Grackle",1932,65,"Dreuth"
"Common Loon",1927,4,"Dreuth"
"Common Loon",1929,4,"Dreuth"
"Common Loon",1931,1,"Dreuth"
"Common Loon",1932,1,"Dreuth"
"Common Merganser",1927,1,"Dreuth"
"Common Merganser",1928,6,"Dreuth"
"Common Merganser",1929,1,"Dreuth"
"Common Merganser",1930,1,"Dreuth"
"Common Merganser",1932,2,"Dreuth"
"Common Nighthawk",1928,1,"Dreuth"
"Common Nighthawk",1929,1,"Dreuth"
"Common Nighthawk",1931,1,"Dreuth"
"Common Nighthawk",1932,2,"Dreuth"
"Common Tern",1927,5,"Dreuth"
"Common Tern",1928,23,"Dreuth"
"Common Tern",1929,29,"Dreuth"
"Common Tern",1930,15,"Dreuth"
"Common Tern",1931,14,"Dreuth"
"Common Tern",1932,5,"Dreuth"
"Common Yellowthroat",1927,4,"Dreuth"
"Common Yellowthroat",1928,22,"Dreuth"
"Common Yellowthroat",1929,16,"Dreuth"
"Common Yellowthroat",1930,17,"Dreuth"
"Common Yellowthroat",1931,15,"Dreuth"
"Common Yellowthroat",1932,17,"Dreuth"
"Connecticut Warbler",1928,1,"Dreuth"
"Connecticut Warbler",1929,2,"Dreuth"
"Connecticut Warbler",1930,2,"Dreuth"
"Connecticut Warbler",1931,2,"Dreuth"
"Connecticut Warbler",1932,1,"Dreuth"
"Dark-eyed Junco",1927,7,"Dreuth"
"Dark-eyed Junco",1928,15,"Dreuth"
"Dark-eyed Junco",1929,43,"Dreuth"
"Dark-eyed Junco",1930,41,"Dreuth"
"Dark-eyed Junco",1931,35,"Dreuth"
"Dark-eyed Junco",1932,34,"Dreuth"
"Dickcissel",1929,1,"Dreuth"
"Dickcissel",1930,1,"Dreuth"
"Downy Woodpecker",1928,3,"Dreuth"
"Downy Woodpecker",1929,10,"Dreuth"
"Downy Woodpecker",1930,11,"Dreuth"
"Downy Woodpecker",1931,7,"Dreuth"
"Downy Woodpecker",1932,5,"Dreuth"
"Eastern Bluebird",1927,6,"Dreuth"
"Eastern Bluebird",1928,4,"Dreuth"
"Eastern Bluebird",1929,8,"Dreuth"
"Eastern Bluebird",1930,10,"Dreuth"
"Eastern Bluebird",1931,4,"Dreuth"
"Eastern Bluebird",1932,8,"Dreuth"
"Eastern Kingbird",1928,3,"Dreuth"
"Eastern Kingbird",1929,5,"Dreuth"
"Eastern Kingbird",1930,3,"Dreuth"
"Eastern Kingbird",1931,6,"Dreuth"
"Eastern Kingbird",1932,7,"Dreuth"
"Eastern Meadowlark",1927,3,"Dreuth"
"Eastern Meadowlark",1928,6,"Dreuth"
"Eastern Meadowlark",1929,14,"Dreuth"
"Eastern Meadowlark",1930,19,"Dreuth"
"Eastern Meadowlark",1931,16,"Dreuth"
"Eastern Meadowlark",1932,17,"Dreuth"
"Eastern Phoebe",1928,7,"Dreuth"
"Eastern Phoebe",1929,14,"Dreuth"
"Eastern Phoebe",1930,10,"Dreuth"
"Eastern Phoebe",1931,8,"Dreuth"
"Eastern Phoebe",1932,18,"Dreuth"
"Eastern Screech-Owl",1928,1,"Dreuth"
"Eastern Screech-Owl",1931,2,"Dreuth"
"Eastern Towhee",1927,5,"Dreuth"
"Eastern Towhee",1928,11,"Dreuth"
"Eastern Towhee",1929,49,"Dreuth"
"Eastern Towhee",1930,23,"Dreuth"
"Eastern Towhee",1931,32,"Dreuth"
"Eastern Towhee",1932,34,"Dreuth"
"Eastern Whip-poor-will",1931,1,"Dreuth"
"Eastern Whip-poor-will",1932,4,"Dreuth"
"Eastern Wood-Pewee",1927,2,"Dreuth"
"Eastern Wood-Pewee",1928,8,"Dreuth"
"Eastern Wood-Pewee",1929,8,"Dreuth"
"Eastern Wood-Pewee",1930,7,"Dreuth"
"Eastern Wood-Pewee",1931,8,"Dreuth"
"Eastern Wood-Pewee",1932,7,"Dreuth"
"European Starling",1930,1,"Dreuth"
"European Starling",1931,1,"Dreuth"
"European Starling",1932,62,"Dreuth"
"Field Sparrow",1927,5,"Dreuth"
"Field Sparrow",1928,14,"Dreuth"
"Field Sparrow",1929,22,"Dreuth"
"Field Sparrow",1930,22,"Dreuth"
"Field Sparrow",1931,25,"Dreuth"
"Field Sparrow",1932,35,"Dreuth"
"Fox Sparrow",1927,2,"Dreuth"
"Fox Sparrow",1928,6,"Dreuth"
"Fox Sparrow",1929,18,"Dreuth"
"Fox Sparrow",1930,23,"Dreuth"
"Fox Sparrow",1931,9,"Dreuth"
"Fox Sparrow",1932,13,"Dreuth"
"Glaucous Gull",1928,1,"Dreuth"
"Golden-crowned Kinglet",1927,2,"Dreuth"
"Golden-crowned Kinglet",1928,4,"Dreuth"
"Golden-crowned Kinglet",1929,18,"Dreuth"
"Golden-crowned Kinglet",1930,13,"Dreuth"
"Golden-crowned Kinglet",1931,22,"Dreuth"
"Golden-crowned Kinglet",1932,4,"Dreuth"
"Golden-winged Warbler",1930,1,"Dreuth"
"Golden-winged Warbler",1931,1,"Dreuth"
"Grasshopper Sparrow",1927,1,"Dreuth"
"Grasshopper Sparrow",1929,1,"Dreuth"
"Grasshopper Sparrow",1930,6,"Dreuth"
"Grasshopper Sparrow",1931,2,"Dreuth"
"Grasshopper Sparrow",1932,6,"Dreuth"
"Gray Catbird",1927,3,"Dreuth"
"Gray Catbird",1928,20,"Dreuth"
"Gray Catbird",1929,21,"Dreuth"
"Gray Catbird",1930,20,"Dreuth"
"Gray Catbird",1931,15,"Dreuth"
"Gray Catbird",1932,23,"Dreuth"
"Gray-cheeked Thrush",1927,3,"Dreuth"
"Gray-cheeked Thrush",1928,27,"Dreuth"
